"rep","n","probs","quants","tail","model","uwd1","uwd2","width_mu","width_sigma","width_n","cover90_mu","cover90_sigma","cover90_n"
7,50,2,9,0,"ordn",0.0860023602521532,0.00726170389931532,1.539455,1.292375,NA,1,1,NA
7,50,2,9,0,"clt",0.0923589720648404,0.00766056069787808,0.6364,0.53523,566.42485,0,1,0
7,50,2,9,0,"ord",0.0879692798260069,0.00690599297805926,0.660764,0.5634295,515.387,0,1,0
7,50,2,9,0,"ind",0.0944434399904494,0.00813349540713326,0.288608,0.358287,NA,0,1,NA
7,50,2,9,0,"kern",0.0931137786874848,0.00728651515189419,NA,NA,NA,NA,NA,NA
7,50,2,9,0,"spline",0.0943669061598621,0.00767884407119293,NA,NA,NA,NA,NA,NA
7,150,1,3,0,"cltn",0.0799409106723486,0.00578845228428157,0.9221905,1.006095,NA,0,1,NA
7,150,1,3,0,"ordn",0.0799409106723486,0.00578845228428157,0.9435595,1.0351365,NA,0,1,NA
7,150,1,3,0,"clt",0.0787930985951446,0.00538753810927936,1.362416,1.396801,424.776945,1,1,1
7,150,1,3,0,"ord",0.0827059975812708,0.00619802345049684,1.247605,1.342913,411.5723,1,1,1
7,150,1,3,0,"ind",0.0638270372396616,0.00433696727301693,2.756507,3.69368,NA,1,1,NA
7,150,1,3,0,"kern",0.0828039143831303,0.00780419047504493,NA,NA,NA,NA,NA,NA
7,150,1,3,0,"spline",0.16041770122842,0.0240630559634027,NA,NA,NA,NA,NA,NA
7,150,2,9,0,"cltn",0.0598867468896196,0.00390016433083948,0.8735105,0.6946315,NA,0,1,NA
7,150,2,9,0,"ordn",0.0598867468896196,0.00390016433083948,0.897098,0.7133585,NA,0,1,NA
7,150,2,9,0,"clt",0.0752375078641659,0.00584152735059454,0.7159285,0.5873705,451.2092,0,1,1
7,150,2,9,0,"ord",0.092012943700619,0.00783175656329708,0.70809,0.5828395,452.5462,0,1,1
7,150,2,9,0,"ind",0.0756832017156253,0.00594378769437504,0.358934,0.4678275,NA,0,0,NA
7,150,2,9,0,"kern",0.0925227596407835,0.00890162072160911,NA,NA,NA,NA,NA,NA
7,150,2,9,0,"spline",0.098397792532779,0.00886317206001103,NA,NA,NA,NA,NA,NA
7,500,1,3,0,"cltn",0.0202064251664003,0.000419980865004861,0.5453995,0.59496,NA,1,1,NA
7,500,1,3,0,"ordn",0.0202064251664003,0.000419980865004861,0.5599815,0.597376,NA,1,1,NA
7,500,1,3,0,"clt",0.0235393501889268,0.000545500821611321,0.389865,0.405841,4210.5114,1,1,1
7,500,1,3,0,"ord",0.030317587806661,0.000805599109484936,0.39909,0.413129,4264.3402,1,1,1
